,open,high,low,close,volume,time,BB,A,g_buy,g_sell,pos,trade
2025-11-20,71.88000000000001,74.80000000000001,71.82000000000001,73.50000000000001,68609,1763568000000,73.48225681725683,73.138,0,0,0,SELL
2025-11-21,72.7,73.88,69.5,69.58,65698,1763654400000,72.80323463573464,70.626,0,0,0,
2025-11-24,70.62,75.82000000000001,70.37,74.64,113429,1763913600000,73.13981379731379,73.527,1,0,0,
2025-11-25,75.98,76.82000000000001,74.18,75.60000000000001,90095,1764000000000,73.50282153032154,75.656,0,0,1,BUY
2025-11-26,77.88,78.6,75.0,75.91,94991,1764086400000,74.15069597069598,76.482,0,0,1,
2025-11-27,75.0,78.9,73.86,77.05,116118,1764172800000,74.57342796092796,76.506,0,0,1,
2025-11-28,77.05,79.9,76.78,78.55,129007,1764259200000,75.2190923890924,78.208,0,0,1,
2025-12-01,78.99,79.0,76.0,76.03,109102,1764518400000,75.42227004477004,76.91600000000001,0,0,1,
2025-12-02,75.84,78.18,75.01,76.60000000000001,96062,1764604800000,75.72213675213675,76.447,0,0,1,
2025-12-03,76.63,77.18,72.0,73.54,124221,1764691200000,75.26284391534392,74.36800000000001,0,1,1,
2025-12-04,73.53999999999999,74.39999999999999,72.27,73.67999999999999,74132,1764777600000,74.97458587708587,73.583,0,0,0,SELL
2025-12-05,73.9,83.0,73.68,81.31,152691,1764864000000,75.7235113960114,79.23400000000001,1,0,0,
